V1,V2
2007-03-27 15:49:00,465.24
2007-03-27 15:50:00,465.06
2007-03-27 15:51:00,464.97
2007-03-27 15:52:00,465.24
2007-03-27 15:53:00,465.15
2007-03-27 15:54:00,465.06
2007-03-27 15:55:00,464.87
2007-03-27 15:56:00,465.06
2007-03-27 15:57:00,465.15
2007-03-27 15:58:00,464.87
2007-03-27 15:59:00,464.78
2007-03-27 16:00:00,464.78
2007-03-27 16:01:00,464.69
2007-03-27 16:02:00,464.69
2007-03-27 16:03:00,464.69
2007-03-27 16:04:00,465.59
2007-03-27 16:05:00,464.69
2007-03-27 16:06:00,464.69
2007-03-27 16:07:00,464.69
2007-03-27 16:08:00,466.53
2007-03-27 16:09:00,466.53
2007-03-27 16:10:00,469.17
2007-03-27 16:11:00,464.69
2007-03-27 16:12:00,464.69
2007-03-27 16:13:00,466.41
2007-03-27 16:14:00,464.69
2007-03-27 16:15:00,469.06
2007-03-27 16:16:00,469.16
2007-03-27 16:17:00,467.13
2007-03-27 16:18:00,466.25
2007-03-27 16:19:00,464.78
2007-03-27 16:20:00,464.78
2007-03-27 16:21:00,470.14
2007-03-27 16:22:00,470.14
2007-03-27 16:23:00,470.14
2007-03-27 16:24:00,470.14
2007-03-27 16:25:00,470.14
2007-03-27 16:26:00,470.14
2007-03-27 16:27:00,470.14
2007-03-27 16:28:00,470.14
2007-03-27 16:29:00,464.6
2007-03-27 16:30:00,464.6
2007-03-27 16:31:00,464.6
2007-03-27 16:32:00,464.6
2007-03-27 16:33:00,464.6
2007-03-27 16:34:00,464.6
2007-03-27 16:35:00,464.6
2007-03-27 16:36:00,464.6
2007-03-27 16:37:00,464.6
2007-03-27 16:38:00,464.6
2007-03-27 16:39:00,464.69
2007-03-27 16:40:00,464.69
2007-03-27 16:41:00,464.69
2007-03-27 16:42:00,464.69
2007-03-27 16:43:00,464.69
2007-03-27 16:44:00,464.69
2007-03-27 16:45:00,464.69
2007-03-27 16:46:00,464.69
2007-03-27 16:47:00,464.69
2007-03-27 16:48:00,464.69
2007-03-27 16:49:00,464.69
2007-03-27 16:50:00,464.69
2007-03-27 16:51:00,464.69
2007-03-27 16:52:00,464.69
2007-03-27 16:53:00,464.69
2007-03-27 16:54:00,464.14
2007-03-27 16:55:00,464.14
2007-03-27 16:56:00,464.14
2007-03-27 16:57:00,464.14
2007-03-27 16:58:00,464.14
2007-03-27 16:59:00,466.34
2007-03-27 17:00:00,466.34
2007-03-28 09:30:00,465.87
2007-03-28 09:31:00,464.87
2007-03-28 09:32:00,463.87
2007-03-28 09:33:00,463.67
